0,1
Political_district,Political district
Political_entity,Political entity
Cultural_heritage,Cultural heritage
Television_special,Television special
Web_series,Web series
Non-profit,Non profit
Movie_series,Movie series
Video_game,Video game
Musical_band,Musical band
Political_position,Political position
Radio_show,Radio show
Tv_show,Tv show
Tv_series,Tv series
Football_club,Football club
Film_series,Film series
Military_equipment,Military equipment
Government_body,Government body
Television_series,Television series
Television_show,Television show
Political_party,Political party
Historical_entity,Historical entity
Body_of_water,Body of water
Creative_work,Creative work
